# Grain Sizes, Frequency of Grain Sizes 
8.5285,0.0057
8.5385,0.0057
8.5485,0.0057
8.5586,0.0057
8.5686,0.0056
8.5786,0.0056
8.5886,0.0056
8.5986,0.0056
8.6086,0.0055
8.6186,0.0055
8.6286,0.0055
8.6386,0.0055
8.6486,0.0054
8.6587,0.0054
8.6687,0.0054
8.6787,0.0054
8.6887,0.0053
8.6987,0.0053
8.7087,0.0053
8.7187,0.0053
8.7287,0.0053
8.7387,0.0052
8.7487,0.0052
8.7588,0.0052
8.7688,0.0052
8.7788,0.0051
8.7888,0.0051
8.7988,0.0051
8.8088,0.0051
8.8188,0.0051
8.8288,0.0050
8.8388,0.0050
8.8488,0.0050
8.8589,0.0050
8.8689,0.0050
8.8789,0.0049
8.8889,0.0049
8.8989,0.0049
8.9089,0.0049
8.9189,0.0048
8.9289,0.0048
8.9389,0.0048
8.9489,0.0048
8.9590,0.0048
8.9690,0.0047
8.9790,0.0047
8.9890,0.0047
8.9990,0.0047
9.0090,0.0047
9.0190,0.0047
9.0290,0.0046
9.0390,0.0046
9.0490,0.0046
9.0591,0.0046
9.0691,0.0046
9.0791,0.0045
9.0891,0.0045
9.0991,0.0045
9.1091,0.0045
9.1191,0.0045
9.1291,0.0044
9.1391,0.0044
9.1491,0.0044
9.1592,0.0044
9.1692,0.0044
9.1792,0.0044
9.1892,0.0043
9.1992,0.0043
9.2092,0.0043
9.2192,0.0043
9.2292,0.0043
9.2392,0.0042
9.2492,0.0042
9.2593,0.0042
9.2693,0.0042
9.2793,0.0042
9.2893,0.0042
9.2993,0.0041
9.3093,0.0041
9.3193,0.0041
9.3293,0.0041
9.3393,0.0041
9.3493,0.0041
9.3594,0.0040
9.3694,0.0040
9.3794,0.0040
9.3894,0.0040
9.3994,0.0040
9.4094,0.0040
9.4194,0.0039
9.4294,0.0039
9.4394,0.0039
9.4494,0.0039
9.4595,0.0039
9.4695,0.0039
9.4795,0.0039
9.4895,0.0038
9.4995,0.0038
9.5095,0.0038
9.5195,0.0038
9.5295,0.0038
9.5395,0.0038
9.5495,0.0037
9.5596,0.0037
9.5696,0.0037
9.5796,0.0037
9.5896,0.0037
9.5996,0.0037
9.6096,0.0037
9.6196,0.0036
9.6296,0.0036
9.6396,0.0036
9.6496,0.0036
9.6597,0.0036
9.6697,0.0036
9.6797,0.0036
9.6897,0.0035
9.6997,0.0035
9.7097,0.0035
9.7197,0.0035
9.7297,0.0035
9.7397,0.0035
9.7497,0.0035
9.7598,0.0034
9.7698,0.0034
9.7798,0.0034
9.7898,0.0034
9.7998,0.0034
9.8098,0.0034
9.8198,0.0034
9.8298,0.0034
9.8398,0.0033
9.8498,0.0033
9.8599,0.0033
9.8699,0.0033
9.8799,0.0033
9.8899,0.0033
9.8999,0.0033
9.9099,0.0033
9.9199,0.0032
9.9299,0.0032
9.9399,0.0032
9.9499,0.0032
9.9600,0.0032
9.9700,0.0032
9.9800,0.0032
9.9900,0.0032
10.0000,0.0031
end
# Disorientation_angles, Frequency of disorientation angles 
0.0000,0.0000
0.0601,0.0000
0.1201,0.0000
0.1802,0.0000
0.2402,0.0000
0.3003,0.0000
0.3604,0.0000
0.4204,0.0000
0.4805,0.0000
0.5405,0.0000
0.6006,0.0000
0.6607,0.0000
0.7207,0.0000
0.7808,0.0000
0.8408,0.0000
0.9009,0.0000
0.9610,0.0000
1.0210,0.0000
1.0811,0.0000
1.1411,0.0000
1.2012,0.0000
1.2613,0.0000
1.3213,0.0000
1.3814,0.0000
1.4414,0.0000
1.5015,0.0000
1.5616,0.0000
1.6216,0.0000
1.6817,0.0000
1.7417,0.0000
1.8018,0.0000
1.8619,0.0000
1.9219,0.0000
1.9820,0.0000
2.0420,0.0000
2.1021,0.0000
2.1622,0.0000
2.2222,0.0000
2.2823,0.0000
2.3423,0.0000
2.4024,0.0000
2.4625,0.0000
2.5225,0.0000
2.5826,0.0000
2.6426,0.0000
2.7027,0.0000
2.7628,0.0000
2.8228,0.0000
2.8829,0.0000
2.9429,0.0000
