# Junction_angles, Frequency of Junction_angles 
152.3123,0.0039
152.3924,0.0038
152.4725,0.0038
152.5526,0.0038
152.6326,0.0037
152.7127,0.0037
152.7928,0.0037
152.8729,0.0036
152.9530,0.0036
153.0330,0.0036
153.1131,0.0035
153.1932,0.0035
153.2733,0.0035
153.3534,0.0034
153.4334,0.0034
153.5135,0.0034
153.5936,0.0033
153.6737,0.0033
153.7538,0.0033
153.8338,0.0032
153.9139,0.0032
153.9940,0.0032
154.0741,0.0031
154.1542,0.0031
154.2342,0.0031
154.3143,0.0031
154.3944,0.0030
154.4745,0.0030
154.5546,0.0030
154.6346,0.0029
154.7147,0.0029
154.7948,0.0029
154.8749,0.0029
154.9550,0.0028
155.0350,0.0028
155.1151,0.0028
155.1952,0.0028
155.2753,0.0027
155.3554,0.0027
155.4354,0.0027
155.5155,0.0026
155.5956,0.0026
155.6757,0.0026
155.7558,0.0026
155.8358,0.0025
155.9159,0.0025
155.9960,0.0025
156.0761,0.0025
156.1562,0.0024
156.2362,0.0024
156.3163,0.0024
156.3964,0.0024
156.4765,0.0023
156.5566,0.0023
156.6366,0.0023
156.7167,0.0023
156.7968,0.0023
156.8769,0.0022
156.9570,0.0022
157.0370,0.0022
157.1171,0.0022
157.1972,0.0021
157.2773,0.0021
157.3574,0.0021
157.4374,0.0021
157.5175,0.0021
157.5976,0.0020
157.6777,0.0020
157.7578,0.0020
157.8378,0.0020
157.9179,0.0020
157.9980,0.0019
158.0781,0.0019
158.1582,0.0019
158.2382,0.0019
158.3183,0.0019
158.3984,0.0018
158.4785,0.0018
158.5586,0.0018
158.6386,0.0018
158.7187,0.0018
158.7988,0.0017
158.8789,0.0017
158.9590,0.0017
159.0390,0.0017
159.1191,0.0017
159.1992,0.0016
159.2793,0.0016
159.3594,0.0016
159.4394,0.0016
159.5195,0.0016
159.5996,0.0016
159.6797,0.0015
159.7598,0.0015
159.8398,0.0015
159.9199,0.0015
160.0000,0.0015
end
